Nom;Adresse;Code Postal;Ville;Téléphone;Site Web
My Cowork ;54 rue Greneta, 75002 Paris;;;01 85 09 08 29;http://mycowork.fr/
Le 10h10 ;210 rue Saint-Martin, 75003 Paris;;;01 44 49 92 59;http://www.le10h10.com/fr/coworking-cafe/
Hubsy ;41 Rue Réaumur, 75003 Paris;;;01 43 56 89 80;https://www.hubsy.fr/
The Office ;19 rue Claude Bernard, 75 005 Paris;;;06 60 77 02 41;https://www.theoffice-paris.com/
Mozaik Coworking ;: 41 Rue de la Chaussée d’Antin, 75009 Paris;;;: 06 42 63 79 34;http://www.mozaik-coworking.com/
BGE PaRIF ;18 Rue du Faubourg du Temple, 75011 Paris;;;01 43 55 09 48;http://www.bge-parif.com/sites/bge/accueil/le-coworking.html
Cool and Workers ;30-34 rue du Chemin Vert 75011, Paris;;;01 80 88 48 28;https://www.coolandworkers.com/
Greenspace Paris ;: 28 rue du Chemin Vert, 75 011 Paris;;;: 01 43 38 14 51;http://greenspace-paris.com
Le Tank ;22 bis rue des Taillandiers, 75011 Paris;;;01 43 14 71 23;https://letank.fr/
PLANET COWORKING ;119 rue du Chemin Vert, 75011 Paris;;;07 64 50 05 55;http://www.planet-coworking.com
PLANET COWORKING ;119 rue du Chemin Vert, 75011 Paris;;;07 64 50 05 55;http://www.planet-coworking.com
Grand Tour ;30 rue des 3 Bornes, 75011 Paris;;;01 48 06 85 22;https://grandtour.paris/
La Cordée ;: 61 rue Traversière, 75 012 Paris;;;: 01 81 29 47 90;https://www.la-cordee.net/cordee/paris/paris-gare-de-lyon/
LYDD Consulting ;51 rue Claude Decaen 75012 Paris;;;01 73 71 83 68;http://lyddconsulting.com/coworking/
Digital Village ;13 rue Vandrezanne, 75 013 Paris;;;06 20 85 50 62;http://digital-village.fr/coworking/paris
9GDM ;9 rue Guyton de Morveau, 75 013 Paris;;;: 01 84 19 50 47;https://9gdm.com
Mon premier bureau ;29 Rue Brézin, 75014 Paris;;;;http://www.monpremierbureau.org/
We art from Paris ;40 rue Castagnary, 75015 Paris;;;06 82 56 82 11;https://weartfromparis.com/
Patchwork ;10 rue Pergolèse, 75016 paris;;;01 42 21 15 44;http://www.patchwork.co/
The Place To… ;47 avenue de Wagram, 75017, PARIS;;;0145747928;http://www.theplaceto.paris
Le Well Lab ;10 rue des Renaudes, 75017 Paris;;;01 44 09 96 78;http://www.lewelllab.fr/
Work In Paris ;111 Rue Cardinet, 75017 Paris;;;01 85 09 38 60;http://www.workinparis.com/cardinet
SPLIT Coworking ;;;;;
Le Laptop ;6 rue Arthur Rozier, 75019 Paris;;;01 77 16 65 24;https://www.lelaptop.com/
Mutinerie ;29 rue de Meaux, 75019 Paris;;;09 81 74 92 00;http://coworking.mutinerie.org/
VOLUMES coworking ;78 Rue Compans, 75019 Paris;;;07 68 64 61 62;http://www.volumesparis.org
WoMa ;15 bis rue Léon Giraud, 75019 Paris;;;01 40 18 59 21;https://woma.fr/fr/
La Ruche ;24 Rue de l’Est, 75020 Paris;;;01 83 64 59 04;http://la-ruche.net/
Le Trèfle ;: 31 bis Rue des Longs Prés, 92100 Boulogne-Billancourt;;;: 01 80 87 46 01 / 07 61 63 22 57;http://www.groupe-letrefle.fr/
TimeWorkSpace ;3 bis rue Jean Jaurès, 92800 Puteaux;;;01 49 00 05 40;https://www.timeworkspace.fr/
Coworking95 ;11 ter rue Bergeret, 95290 L’Isle-Adam;;;01 34 69 26 93;http://www.coworking95.fr
Sandbox 212 ;6 – 8 Cours du Danube, 77 700 Serris;;;;http://www.sandbox212.fr/
Mon Premier Bureau ;100, avenue de Stalingrad, 94800 Villejuif;;;;
OCW ;37 Rue Paul Bovier-Lapierre 69530 Brignais;;;04 78 05 61 35;http://www.ocw.fr/
